Hour,Average,Week
2024-07-10 19:00:00,3151.789162949976,Week 28 a 31
2024-07-10 20:00:00,3153.662258433571,Week 28 a 31
2024-07-10 21:00:00,3156.4861824617738,Week 28 a 31
2024-07-10 22:00:00,3148.995441798791,Week 28 a 31
2024-07-10 23:00:00,3163.7244291148168,Week 28 a 31
2024-07-11 00:00:00,3173.357375924508,Week 28 a 31
2024-07-11 01:00:00,3174.26006517926,Week 28 a 31
2024-07-11 02:00:00,3177.019400520877,Week 28 a 31
2024-07-11 03:00:00,3178.9674008313627,Week 28 a 31
2024-07-11 04:00:00,3180.969767492405,Week 28 a 31
2024-07-11 05:00:00,3183.903491650131,Week 28 a 31
2024-07-11 06:00:00,3185.1113025048808,Week 28 a 31
2024-07-11 07:00:00,3186.936260007756,Week 28 a 31
2024-07-11 08:00:00,3187.7692834685186,Week 28 a 31
2024-07-11 09:00:00,3193.0724763476237,Week 28 a 31
2024-07-11 10:00:00,3192.3117966574173,Week 28 a 31
2024-07-11 11:00:00,3195.8973564643343,Week 28 a 31
2024-07-11 12:00:00,3130.653005815541,Week 28 a 31
2024-07-11 13:00:00,11.872020422348214,Week 28 a 31
2024-07-11 14:00:00,13.911715696008928,Week 28 a 31
2024-07-11 15:00:00,15.82477436414409,Week 28 a 31
2024-07-11 16:00:00,16.364160585714288,Week 28 a 31
2024-07-11 17:00:00,19.931992159327383,Week 28 a 31
2024-07-11 18:00:00,18.64168584734773,Week 28 a 31
2024-07-11 19:00:00,7.855000277210463,Week 28 a 31
2024-07-11 20:00:00,8.095672235488095,Week 28 a 31
2024-07-11 21:00:00,10.717658746818453,Week 28 a 31
2024-07-11 22:00:00,9.084726108291669,Week 28 a 31
2024-07-11 23:00:00,10.58145683473835,Week 28 a 31
2024-07-12 00:00:00,12.564865580017855,Week 28 a 31
2024-07-12 01:00:00,14.846737873279762,Week 28 a 31
2024-07-12 02:00:00,16.606526236863093,Week 28 a 31
2024-07-12 03:00:00,18.25729496141786,Week 28 a 31
2024-07-12 04:00:00,20.194302693934524,Week 28 a 31
2024-07-12 05:00:00,22.310383678113094,Week 28 a 31
2024-07-12 06:00:00,24.274778453410715,Week 28 a 31
2024-07-12 07:00:00,26.4297120095,Week 28 a 31
2024-07-12 08:00:00,27.912028909488093,Week 28 a 31
2024-07-12 09:00:00,28.594783534458333,Week 28 a 31
2024-07-12 10:00:00,29.028838605767856,Week 28 a 31
2024-07-12 11:00:00,32.015628278988096,Week 28 a 31
2024-07-12 12:00:00,34.000271160833336,Week 28 a 31
2024-07-12 13:00:00,35.96834227841072,Week 28 a 31
2024-07-12 14:00:00,37.929301551035714,Week 28 a 31
2024-07-12 15:00:00,39.996352020741625,Week 28 a 31
2024-07-12 16:00:00,41.94016397913096,Week 28 a 31
2024-07-12 17:00:00,44.20267256022619,Week 28 a 31
2024-07-12 18:00:00,46.4280262857497,Week 28 a 31
2024-07-12 19:00:00,48.84562285426121,Week 28 a 31
2024-07-12 20:00:00,50.85015466067062,Week 28 a 31
2024-07-12 21:00:00,52.79567405802976,Week 28 a 31
2024-07-12 22:00:00,54.87375958505455,Week 28 a 31
2024-07-12 23:00:00,56.303688731652976,Week 28 a 31
2024-07-13 00:00:00,56.99094393617474,Week 28 a 31
2024-07-13 01:00:00,57.53544743857988,Week 28 a 31
2024-07-13 02:00:00,57.202876342974726,Week 28 a 31
2024-07-13 03:00:00,56.99325184285715,Week 28 a 31
2024-07-13 04:00:00,56.99325184285715,Week 28 a 31
2024-07-13 05:00:00,56.99325184285715,Week 28 a 31
2024-07-13 06:00:00,56.99325184285715,Week 28 a 31
2024-07-13 07:00:00,56.99325184285715,Week 28 a 31
2024-07-13 08:00:00,56.99325184285715,Week 28 a 31
2024-07-13 09:00:00,56.99325184285715,Week 28 a 31
2024-07-13 10:00:00,56.99325184285715,Week 28 a 31
2024-07-13 11:00:00,56.99325184285714,Week 28 a 31
2024-07-13 12:00:00,56.99325184285715,Week 28 a 31
2024-07-13 13:00:00,56.681682575179,Week 28 a 31
2024-07-13 14:00:00,56.99325184285715,Week 28 a 31
2024-07-13 15:00:00,56.99325184285715,Week 28 a 31
2024-07-13 16:00:00,56.99325184285715,Week 28 a 31
2024-07-13 17:00:00,56.99325184285715,Week 28 a 31
2024-07-13 18:00:00,56.99325184285714,Week 28 a 31
2024-07-13 19:00:00,56.99325184285715,Week 28 a 31
2024-07-13 20:00:00,56.99325184285715,Week 28 a 31
2024-07-13 21:00:00,132.36094798770952,Week 28 a 31
2024-07-13 22:00:00,155.69470407815714,Week 28 a 31
2024-07-13 23:00:00,157.26201416660774,Week 28 a 31
2024-07-14 00:00:00,159.34005689651727,Week 28 a 31
2024-07-14 01:00:00,156.36537075674764,Week 28 a 31
2024-07-14 02:00:00,157.54647768908035,Week 28 a 31
2024-07-14 03:00:00,159.19908747731546,Week 28 a 31
2024-07-14 04:00:00,161.1452509035357,Week 28 a 31
2024-07-14 05:00:00,163.0787345301012,Week 28 a 31
2024-07-14 06:00:00,164.9583470962738,Week 28 a 31
2024-07-14 07:00:00,167.06834126675597,Week 28 a 31
2024-07-14 08:00:00,169.1017969027381,Week 28 a 31
2024-07-14 09:00:00,171.17273828917857,Week 28 a 31
2024-07-14 10:00:00,172.60972149060115,Week 28 a 31
2024-07-14 11:00:00,171.53343673775595,Week 28 a 31
2024-07-14 12:00:00,172.8605744933125,Week 28 a 31
2024-07-14 13:00:00,174.29566945324166,Week 28 a 31
2024-07-14 14:00:00,176.34553695414286,Week 28 a 31
2024-07-14 15:00:00,178.1482474167024,Week 28 a 31
2024-07-14 16:00:00,179.7237026957976,Week 28 a 31
2024-07-14 17:00:00,181.4939058053393,Week 28 a 31
2024-07-14 18:00:00,183.10236066156008,Week 28 a 31
2024-07-14 19:00:00,185.67190674849405,Week 28 a 31
2024-07-14 20:00:00,188.04146404822615,Week 28 a 31
2024-07-14 21:00:00,190.05436460208333,Week 28 a 31
2024-07-14 22:00:00,192.10739506608928,Week 28 a 31
2024-07-14 23:00:00,193.8897462736369,Week 28 a 31
2024-07-15 00:00:00,196.021623699756,Week 28 a 31
2024-07-15 01:00:00,194.99830879932145,Week 28 a 31
2024-07-15 02:00:00,196.7356219937381,Week 28 a 31
2024-07-15 03:00:00,198.7529861759583,Week 28 a 31
2024-07-15 04:00:00,200.8113201103988,Week 28 a 31
2024-07-15 05:00:00,202.87536804011907,Week 28 a 31
2024-07-15 06:00:00,204.9338630905833,Week 28 a 31
2024-07-15 07:00:00,207.03122940082736,Week 28 a 31
2024-07-15 08:00:00,209.07527269795835,Week 28 a 31
2024-07-15 09:00:00,210.4645384951488,Week 28 a 31
2024-07-15 10:00:00,213.16088434842857,Week 28 a 31
2024-07-15 11:00:00,221.01821570945836,Week 28 a 31
2024-07-15 12:00:00,222.28907173286908,Week 28 a 31
2024-07-15 13:00:00,225.91914385191728,Week 28 a 31
2024-07-15 14:00:00,227.4135898328572,Week 28 a 31
2024-07-15 15:00:00,229.36437478623927,Week 28 a 31
2024-07-15 16:00:00,231.1504046660536,Week 28 a 31
2024-07-15 17:00:00,232.48392146643988,Week 28 a 31
2024-07-15 18:00:00,234.5753179404328,Week 28 a 31
2024-07-15 19:00:00,236.41925995749935,Week 28 a 31
2024-07-15 20:00:00,237.9121517807832,Week 28 a 31
2024-07-15 21:00:00,239.5152580471736,Week 28 a 31
2024-07-15 22:00:00,241.15559544072903,Week 28 a 31
2024-07-15 23:00:00,242.6284059652048,Week 28 a 31
2024-07-16 00:00:00,244.05344486561845,Week 28 a 31
2024-07-16 01:00:00,250.8112186949976,Week 28 a 31
2024-07-16 02:00:00,252.8768288621089,Week 28 a 31
2024-07-16 03:00:00,254.41774771226196,Week 28 a 31
2024-07-16 04:00:00,256.5446326617678,Week 28 a 31
2024-07-16 05:00:00,258.7347643172738,Week 28 a 31
2024-07-16 06:00:00,260.84997004039883,Week 28 a 31
2024-07-16 07:00:00,263.15935298381544,Week 28 a 31
2024-07-16 08:00:00,265.55979204949404,Week 28 a 31
2024-07-16 09:00:00,267.8174112571191,Week 28 a 31
2024-07-16 10:00:00,268.6109797688096,Week 28 a 31
2024-07-16 11:00:00,261.4381752507857,Week 28 a 31
2024-07-16 12:00:00,261.92240536165895,Week 28 a 31
2024-07-16 13:00:00,263.53789242865656,Week 28 a 31
2024-07-16 14:00:00,265.6798692894988,Week 28 a 31
2024-07-16 15:00:00,267.6551873967797,Week 28 a 31
2024-07-16 16:00:00,269.75272499417264,Week 28 a 31
2024-07-16 17:00:00,272.35987477673336,Week 28 a 31
2024-07-16 18:00:00,274.73909517039255,Week 28 a 31
2024-07-16 19:00:00,276.72448113166905,Week 28 a 31
2024-07-16 20:00:00,278.4836850431143,Week 28 a 31
2024-07-16 21:00:00,279.5622284410544,Week 28 a 31
2024-07-16 22:00:00,280.6826797863133,Week 28 a 31
2024-07-16 23:00:00,283.8015979975077,Week 28 a 31
2024-07-17 00:00:00,285.49539869326964,Week 28 a 31
2024-07-17 01:00:00,284.2532559234631,Week 28 a 31
2024-07-17 02:00:00,285.60257640147057,Week 28 a 31
2024-07-17 03:00:00,286.8916907043667,Week 28 a 31
2024-07-17 04:00:00,288.7082440483274,Week 28 a 31
2024-07-17 05:00:00,290.5801169452738,Week 28 a 31
2024-07-17 06:00:00,292.43393263611307,Week 28 a 31
2024-07-17 07:00:00,294.3084937255893,Week 28 a 31
2024-07-17 08:00:00,296.2255049162321,Week 28 a 31
2024-07-17 09:00:00,298.3602434903274,Week 28 a 31
2024-07-17 10:00:00,301.5680022243375,Week 28 a 31
2024-07-17 11:00:00,313.2194695467827,Week 28 a 31
2024-07-17 12:00:00,314.76716881203566,Week 28 a 31
2024-07-17 13:00:00,316.6791499793036,Week 28 a 31
2024-07-17 14:00:00,318.8262642707857,Week 28 a 31
2024-07-17 15:00:00,321.1393918422024,Week 28 a 31
2024-07-17 16:00:00,323.4103390832619,Week 28 a 31
2024-07-17 17:00:00,325.9122188064107,Week 28 a 31
2024-07-17 18:00:00,328.3755136965126,Week 28 a 31
2024-07-17 19:00:00,330.39736045185714,Week 28 a 31
2024-07-17 20:00:00,332.479468752137,Week 28 a 31
2024-07-17 21:00:00,334.472741353869,Week 28 a 31
2024-07-17 22:00:00,336.68451698759526,Week 28 a 31
2024-07-17 23:00:00,339.16367574103896,Week 28 a 31
2024-07-18 00:00:00,341.3517076953869,Week 28 a 31
2024-07-18 01:00:00,340.83465838210003,Week 28 a 31
2024-07-18 02:00:00,341.9965900621809,Week 28 a 31
2024-07-18 03:00:00,343.3358359476417,Week 28 a 31
2024-07-18 04:00:00,345.13802749057027,Week 28 a 31
2024-07-18 05:00:00,346.6560169162012,Week 28 a 31
2024-07-18 06:00:00,348.3368719658536,Week 28 a 31
2024-07-18 07:00:00,349.68954445276074,Week 28 a 31
2024-07-18 08:00:00,351.56253240764886,Week 28 a 31
2024-07-18 09:00:00,353.43913417523214,Week 28 a 31
2024-07-18 10:00:00,355.71802320378924,Week 28 a 31
2024-07-18 11:00:00,360.7785120330601,Week 28 a 31
2024-07-18 12:00:00,361.9218128194524,Week 28 a 31
2024-07-18 13:00:00,363.5815457688036,Week 28 a 31
2024-07-18 14:00:00,365.1309584360476,Week 28 a 31
2024-07-18 15:00:00,367.1153360914756,Week 28 a 31
2024-07-18 16:00:00,368.88717270900537,Week 28 a 31
2024-07-18 17:00:00,370.36692416228334,Week 28 a 31
2024-07-18 18:00:00,371.8344145090648,Week 28 a 31
2024-07-18 19:00:00,373.6857336916304,Week 28 a 31
2024-07-18 20:00:00,375.50639211888273,Week 28 a 31
2024-07-18 21:00:00,376.37478916005057,Week 28 a 31
2024-07-18 22:00:00,377.0658911986625,Week 28 a 31
2024-07-18 23:00:00,378.2321375566822,Week 28 a 31
2024-07-19 00:00:00,379.6915229668107,Week 28 a 31
2024-07-19 01:00:00,385.189645137031,Week 28 a 31
2024-07-19 02:00:00,386.867709477825,Week 28 a 31
2024-07-19 03:00:00,388.0870167711613,Week 28 a 31
2024-07-19 04:00:00,389.9482790956905,Week 28 a 31
2024-07-19 05:00:00,391.8189801864226,Week 28 a 31
2024-07-19 06:00:00,393.6457603738512,Week 28 a 31
2024-07-19 07:00:00,395.4782613203512,Week 28 a 31
2024-07-19 08:00:00,397.3832927602024,Week 28 a 31
2024-07-19 09:00:00,399.285110705006,Week 28 a 31
2024-07-19 10:00:00,399.0906752562619,Week 28 a 31
2024-07-19 11:00:00,387.60899437607145,Week 28 a 31
2024-07-19 12:00:00,388.1587076033732,Week 28 a 31
2024-07-19 13:00:00,389.894922391597,Week 28 a 31
2024-07-19 14:00:00,392.06115632539286,Week 28 a 31
2024-07-19 15:00:00,393.6733061506965,Week 28 a 31
2024-07-19 16:00:00,395.71609200958926,Week 28 a 31
2024-07-19 17:00:00,397.60569501815473,Week 28 a 31
2024-07-19 18:00:00,399.7291441493214,Week 28 a 31
2024-07-19 19:00:00,401.5287496048587,Week 28 a 31
2024-07-20 18:00:00,449.7129776104545,Week 28 a 31
2024-07-20 19:00:00,451.6257461159917,Week 28 a 31
2024-07-20 20:00:00,453.5339024647857,Week 28 a 31
2024-07-20 21:00:00,454.76973821663097,Week 28 a 31
2024-07-20 22:00:00,456.4192939039042,Week 28 a 31
2024-07-20 23:00:00,457.97077345426607,Week 28 a 31
2024-07-21 00:00:00,459.9547069647768,Week 28 a 31
2024-07-21 01:00:00,462.6302067337839,Week 28 a 31
2024-07-21 02:00:00,464.1300409438101,Week 28 a 31
2024-07-21 03:00:00,466.2372780097678,Week 28 a 31
2024-07-21 04:00:00,468.356115683119,Week 28 a 31
2024-07-21 05:00:00,470.44198304652383,Week 28 a 31
2024-07-21 06:00:00,472.4944428120595,Week 28 a 31
2024-07-21 07:00:00,474.7541420305238,Week 28 a 31
2024-07-21 08:00:00,475.7891926137024,Week 28 a 31
2024-07-21 09:00:00,478.2214555660239,Week 28 a 31
2024-07-21 10:00:00,481.7175027770893,Week 28 a 31
2024-07-21 11:00:00,491.61873538926193,Week 28 a 31
2024-07-21 12:00:00,493.6450695485297,Week 28 a 31
2024-07-21 13:00:00,495.5638631356774,Week 28 a 31
2024-07-21 14:00:00,497.014470565662,Week 28 a 31
2024-07-21 15:00:00,498.8732762732839,Week 28 a 31
2024-07-21 16:00:00,500.2166702116286,Week 28 a 31
2024-07-21 17:00:00,502.1299256938155,Week 28 a 31
2024-07-21 18:00:00,503.9242509332845,Week 28 a 31
2024-07-21 19:00:00,505.5551915515625,Week 28 a 31
2024-07-21 20:00:00,507.2235277185798,Week 28 a 31
2024-07-21 21:00:00,509.53635405090296,Week 28 a 31
2024-07-21 22:00:00,511.350392241431,Week 28 a 31
2024-07-21 23:00:00,513.2212595161733,Week 28 a 31
2024-07-22 00:00:00,514.4450898650363,Week 28 a 31
2024-07-22 01:00:00,517.8477160460476,Week 28 a 31
2024-07-22 02:00:00,519.5296935982976,Week 28 a 31
2024-07-22 03:00:00,521.3505869217917,Week 28 a 31
2024-07-22 04:00:00,523.1832836755428,Week 28 a 31
2024-07-22 05:00:00,525.0273813688393,Week 28 a 31
2024-07-22 06:00:00,526.9010292032202,Week 28 a 31
2024-07-22 07:00:00,528.7631504089167,Week 28 a 31
2024-07-22 08:00:00,530.6113718325,Week 28 a 31
2024-07-22 09:00:00,531.7074260509703,Week 28 a 31
2024-07-22 10:00:00,531.0423148532976,Week 28 a 31
2024-07-22 11:00:00,527.1262580576727,Week 28 a 31
